Day;Time;Mem init;Mem firefox;CPU init;CPU firefox;CPU multithread;CPU multithread/0;CPU multithread/1;CPU multithread/2;CPU multithread/3;CPU multithread/4;CPU multithread/5;CPU multithread/6;CPU multithread/7;CPU multithread/8;CPU multithread/9;CPU multithread/10;CPU multithread/11;CPU multithread/12;CPU multithread/13;CPU multithread/14;CPU multithread/15;CPU multithread/16;CPU multithread/17;CPU multithread/18;CPU multithread/19
2015-04-04;02:30:01;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;6,4;0,0;0,0;6,4;0,0;0,0;0,0;0,0
2015-04-04;02:30:02;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;6,2;0,0;0,0;6,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,2;0,0
2015-04-04;02:30:03;41828;1098136;0,0;0,0;0,0;6,4;0,0;0,0;6,4;0,0;0,0;0,0;0,0;6,4;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4
2015-04-04;02:30:05;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:30:06;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,9;0,0;0,0;0,0;12,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:30:07;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:30:09;41828;1098136;0,0;0,0;0,0;6,5;6,5;0,0;0,0;0,0;0,0;0,0;6,5;0,0;0,0;0,0;0,0;6,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:30:10;41828;1098136;0,0;0,0;0,0;6,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:30:12;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:30:13;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;6,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,3;0,0;0,0
2015-04-04;02:30:14;41828;1098136;0,0;0,0;0,0;0,0;6,4;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0
2015-04-04;02:30:16;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4
2015-04-04;02:30:17;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;32,3;0,0;84,0;84,0;25,8;0,0;0,0;77,5;0,0;58,1;0,0;0,0;0,0;0,0
2015-04-04;02:30:18;41828;1098136;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0
